code,dayVol,weekVol,名称
399008,0.014721811359893474,0.03363419424152,中小300
399009,0.014910576496638272,0.03357167851231607,深证200
399010,0.015497344987369929,0.03564741198349848,深证700
399011,0.014451689939708705,0.032832872553162286,深证1000
399012,0.017231319021852275,0.03927693307231791,创业300
399100,0.014367906492052175,0.032706641693185406,新指数
399101,0.01442127593108484,0.033012161877834144,中小板综
399102,0.017301048683720073,0.03952198693705164,创业板综
399103,0.009935484341872377,0.024526218398206564,乐富指数
399106,0.01453842786859799,0.03313391309004124,深证综指
399107,0.014564540311638653,0.033197940173250826,深证A指
399108,0.009390086061199935,0.02038356938164659,深证B指
399231,0.015017798746837802,0.033473554521272535,农林指数
399232,0.01701645596474357,0.03631949271246577,采矿指数
399233,0.01482813533562269,0.03374757029497585,制造指数
399234,0.014111516275409351,0.0324621413809003,水电指数
399235,0.016200355937230387,0.039018594658250534,建筑指数
399236,0.015434081911674113,0.03471183009429975,批零指数
399237,0.016070873338115393,0.036885342193797375,运输指数
399238,0.01646503862586979,0.037615698471295624,餐饮指数
399239,0.018918928707297143,0.04385669528154286,IT指数
399240,0.016459258280908586,0.03985690170179113,金融指数
399241,0.014930250419445684,0.034554688761055496,地产指数
399242,0.016296711372509102,0.036617278992962764,商务指数
399243,0.017745515933778263,0.04130548638341365,科研指数
399244,0.01551936759028715,0.03678865475975368,公共指数
399248,0.01582078203611752,0.036124263726703534,文化指数
399249,0.019484412793842797,0.04757715632022163,综企指数
399300,0.011568156346508408,0.026978251449757965,沪深300
399301,3.307549605603567e-4,8.971763930801784e-4,深信用债
399302,3.230673816931971e-4,9.053816597120565e-4,深公司债
399306,0.011072624591202113,0.02555592900749486,深证ETF
399310,0.01130193347466706,0.02732048974588277,国证50
399311,0.012317724169036247,0.028335988768773704,国证1000
399312,0.011687814137001975,0.02725438152104578,国证300
399313,0.011379352616569454,0.027074226939555145,巨潮100
399314,0.011513109226089053,0.027116697290018563,巨潮大盘
399315,0.014210708726484968,0.032128067757978086,巨潮中盘
399316,0.01503859067790122,0.03414753090992791,巨潮小盘
399317,0.01295653209033309,0.029816593027620276,国证A指
399318,0.010067972130167644,0.02145977061911579,国证B指
399319,0.015069179668884516,0.033497408240297274,资源优势
399320,0.011919893009232166,0.02810178942637022,国证服务
399321,0.011109778528983413,0.027029942374947363,国证红利
399322,0.011255546265728776,0.026787493552692505,国证治理
399324,0.013855790431746904,0.031501069672123606,深证红利
399326,0.015394921740241558,0.03464172453233024,成长40
399328,0.013852260846812195,0.03114938276788205,深证治理
399330,0.013933267079955895,0.03158711086163781,深证100
399333,0.014598063673295369,0.0331440088041455,中小板R
399335,0.014405493253621286,0.03224115966300381,深证央企
399337,0.01455475361635667,0.03319529926966166,深证民营
399339,0.016000202131916712,0.036146970337941384,深证科技
399341,0.013710152459873634,0.030535464755746717,深证责任
399344,0.014033273163860134,0.03170173410521942,深证300R
399346,0.013560461051506267,0.030724838120739038,深证成长
399348,0.0134934403147505,0.030326445101819047,深证价值
399350,0.015131955392638737,0.03385640625576104,皖江30
