,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,district,fullname,lat,lng,local,name,region
105,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,浦东,浦东新区芳丽苑,31.199118,121.56132,"{'lng': 121.56132, 'lat': 31.199118}",芳丽苑,北蔡
106,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,浦东,浦东新区芳华路411弄,31.202508,121.565398,"{'lng': 121.565398, 'lat': 31.202508}",芳华路411弄,北蔡
107,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,浦东,浦东新区莲中路174弄,31.18838400000001,121.56365,"{'lng': 121.56365, 'lat': 31.188384}",莲中路174弄,北蔡
108,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,浦东,浦东新区锦三角花园(公寓),31.193609999999996,121.549031,"{'lng': 121.549031, 'lat': 31.19361}",锦三角花园(公寓),北蔡
109,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,浦东,浦东新区北中路280弄,31.189448,121.563267,"{'lng': 121.563267, 'lat': 31.189448}",北中路280弄,北蔡
110,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,浦东,浦东新区锦华东南苑,31.185007000000002,121.548154,"{'lng': 121.548154, 'lat': 31.185007}",锦华东南苑,北蔡
111,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,浦东,浦东新区海上国际花园(一期),31.188143,121.55178000000001,"{'lng': 121.55178, 'lat': 31.188143}",海上国际花园(一期),北蔡
112,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,浦东,浦东新区华佳花园,31.19520300000001,121.568424,"{'lng': 121.568424, 'lat': 31.195203}",华佳花园,北蔡
113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,浦东,浦东新区芳华路188弄,31.201016,121.561242,"{'lng': 121.561242, 'lat': 31.201016}",芳华路188弄,北蔡
114,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,浦东,浦东新区高科西路2763弄,31.196859999999997,121.559809,"{'lng': 121.559809, 'lat': 31.19686}",高科西路2763弄,北蔡
115,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,浦东,浦东新区世外桃源,31.269488,121.61656799999999,"{'lng': 121.616568, 'lat': 31.269488}",世外桃源,北蔡
116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,浦东,浦东新区绿川家园,31.178964,121.55922199999999,"{'lng': 121.559222, 'lat': 31.178964}",绿川家园,北蔡
117,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,浦东,浦东新区大华锦绣华城(十八街区)(别墅),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十八街区)(别墅),北蔡
118,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,浦东,浦东新区北中路278弄,31.189011999999998,121.562524,"{'lng': 121.562524, 'lat': 31.189012}",北中路278弄,北蔡
119,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,浦东,浦东新区培育苑,31.203021999999997,121.565647,"{'lng': 121.565647, 'lat': 31.203022}",培育苑,北蔡
120,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,浦东,浦东新区紫叶花园东园,31.189434999999996,121.557921,"{'lng': 121.557921, 'lat': 31.189435}",紫叶花园东园,北蔡
121,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,浦东,浦东新区连波路66弄,31.200792,121.558422,"{'lng': 121.558422, 'lat': 31.200792}",连波路66弄,北蔡
122,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,浦东,浦东新区古北御庭,31.205465000000004,121.55539399999999,"{'lng': 121.555394, 'lat': 31.205465}",古北御庭,北蔡
123,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,浦东,浦东新区莲溪大楼,31.19006,121.56686,"{'lng': 121.56686, 'lat': 31.19006}",莲溪大楼,北蔡
124,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,杨浦,杨浦区银亿领墅,31.32178900000001,121.50602099999999,"{'lng': 121.506021, 'lat': 31.321789}",银亿领墅,新江湾城
